word,jyutping
不由分說,bat1 jau4 fan1 syut3
亭臺樓閣,ting4 toi4 lau4 gok3
出謀劃策,ceot1 mau4 waak6 caak3
南征北戰,naam4 zing1 bak1 zin3
和顏悅色,wo4 ngaan4 jyut6 sik1
大聲疾呼,daai6 sing1 zat6 fu1
奇花異卉,kei4 faa1 ji6 wai2
姹紫嫣紅,caa3 zi2 jin1 hung4
心悅誠服,sam1 jyut6 sing4 fuk6
恍恍惚惚,fong2 fong2 fat1 fat1
恭賀春釐,gung1 ho6 ceon1 lei4
悉力以赴,sik1 lik6 ji5 fu6
揚眉吐氣,joeng4 mei4 tou3 hei3
摩拳擦掌,mo1 kyun4 caat3 zoeng2
數不勝數,sou3 bat1 sing1 sou3
時過境遷,si4 gwo3 ging2 cin1
標新立異,biu1 san1 laap6 ji6
溫故知新,wan1 gu3 zi1 san1
溫文爾雅,wan1 man4 ji5 ngaa5
燬於一旦,wai2 jyu1 jat1 daan3
眾說紛紜,zung3 syut3 fan1 wan4
粉飾昇平,fan2 sik1 sing1 ping4
粉骨碎身,fan2 gwat1 seoi3 san1
胡說八道,wu4 syut3 baat3 dou6
脫口而出,tyut3 hau2 ji4 ceot1
自圓其說,zi6 jyun4 kei4 syut3
說三道四,syut3 saam1 dou6 sei3
談天說地,taam4 tin1 syut3 dei6
銳不可當,jeoi6 bat1 ho2 dong1
頭昏眼花,tau4 fan1 ngaan5 faa1
天涯若比鄰,tin1 ngaai4 joek6 bei2 leon4
家書抵萬金,gaa1 syu1 dai2 maan6 gam1
民以食為先,man4 ji5 sik6 wai6 sin1
雞毛當令箭,gai1 mou4 dong3 ling6 zin3
一回生，兩回熟,jat1 wui4 saang1 loeng5 wui4 suk6
人生七十古來稀,jan4 sang1 cat1 sap6 gu2 loi4 hei1
善惡到頭皆有報,sin6 ok3 dou3 tau4 gaai1 jau5 bou3
樹欲靜而風不息,syu6 juk6 zing6 ji4 fung1 bat1 sik1
說時遲，那時快,syut3 si4 ci4 naa5 si4 faai3
雷聲大，雨點小,leoi4 sing1 daai6 jyu5 dim2 siu2
飛上枝頭作鳳凰,fei1 soeng5 zi1 tau4 zok3 fung6 wong4
三人行，必有我師焉,saam1 jan4 hang4 bit1 jau5 ngo5 si1 jin4
老吾老，以及人之老,lou5 ng4 lou5 ji5 kap6 jan4 zi1 lou5
冰凍三尺，非一日之寒,bing1 dung3 saam1 cek3 fei1 jat1 jat6 zi1 hon4
只要功夫深，鐵杵磨成針,zi2 jiu3 gung1 fu1 sam1 tit3 cyu5 mo4 sing4 zam1
誰言寸草心，報得三春暉,seoi4 jin4 cyun3 cou2 sam1 bou3 dak1 saam1 ceon1 fai1
哈囉,haa1 lo1
幽浮,jau1 fau4
T恤衫,ti1 seot1 saam1
沙丁魚,saa1 ding1 jyu4
