word,jyutping
他鄉遇故知,taa1 hoeng1 jyu6 gu3 zi1
何樂而不為,ho4 lok6 ji4 bat1 wai4
依樣畫葫蘆,ji1 joeng6 waak6 wu4 lou4
先下手為強,sin1 haa6 sau2 wai4 koeng4
先禮而後兵,sin1 lai5 ji4 hau6 bing1
各花入各眼,gok3 faa1 jap6 gok3 ngaan5
嚴師出高徒,jim4 si1 ceot1 gou1 tou4
天涯若比鄰,tin1 ngaai4 joek6 bei2 leon4
家和萬事興,gaa1 wo4 maan6 si6 hing1
家書抵萬金,gaa1 syu1 dai2 maan6 gam1
富不過三代,fu3 bat1 gwo3 saam1 doi6
小巫見大巫,siu2 mou4 gin3 daai6 mou4
快刀斬亂麻,faai3 dou1 zaam2 lyun6 maa4
慷他人之慨,hong2 taa1 jan4 zi1 koi3
擒賊先擒王,kam4 caak6 sin1 kam4 wong4
更上一層樓,gang3 soeng5 jat1 cang4 lau4
月是故鄉明,jyut6 si6 gu3 hoeng1 ming4
本是同根生,bun2 si6 tung4 gan1 sang1
欲速則不達,juk6 cuk1 zak1 bat1 daat6
民以食為先,man4 ji5 sik6 wai6 sin1
無往而不利,mou4 wong5 ji4 bat1 lei6
無後顧之憂,mou4 hau6 gu3 zi1 jau1
無所施其技,mou4 so2 si1 kei4 gei6
無語問蒼天,mou4 jyu5 man6 cong1 tin1
物以罕為貴,mat6 ji5 hon2 wai4 gwai3
牽着鼻子走,hin1 zoek6 bei6 zi2 zau2
盡在不言中,zeon6 zoi6 bat1 jin4 zung1
知恥近乎勇,zi1 ci2 gan6 fu4 jung5
臨急抱佛腳,lam4 gap1 pou5 fat6 goek3
藝高人膽大,ngai6 gou1 jan4 daam2 daai6
行行出狀元,hong4 hong4 ceot1 zong6 jyun4
雞毛當令箭,gai1 mou4 dong3 ling6 zin3
風水輪流轉,fung1 seoi2 leon4 lau4 zyun2
高處不勝寒,gou1 cyu3 bat1 sing1 hon4
一動不如一靜,jat1 dung6 bat1 jyu4 jat1 zing6
一發不可收拾,jat1 faat3 bat1 ho2 sau1 sap6
不分青紅皂白,bat1 fan1 cing1 hung4 zou6 baak6
不費吹灰之力,bat1 fai3 ceoi1 fui1 zi1 lik6
井水不犯河水,zeng2 seoi2 bat1 faan6 ho4 seoi2
人算不如天算,jan4 syun3 bat1 jyu4 tin1 syun3
出淤泥而不染,ceot1 jyu1 nai4 ji4 bat1 jim5
化干戈為玉帛,faa3 gon1 gwo1 wai4 juk6 baak6
化腐朽為神奇,faa3 fu6 nau2 wai4 san4 kei4
家醜不出外傳,gaa1 cau2 bat1 ceot1 ngoi6 cyun4
