word,jyutping
一乾二淨,jat1 gon1 ji6 zeng6
一反常態,jat1 faan2 soeng4 taai3
一呼百應,jat1 fu1 baak3 jing3
一命嗚呼,jat1 ming6 wu1 fu1
一哄而散,jat1 hung3 ji4 saan3
一塌糊塗,jat1 taap3 wu4 tou4
一如既往,jat1 jyu4 gei3 wong5
一帆風順,jat1 faan4 fung1 seon6
一年半載,jat1 nin4 bun3 zoi2
一廂情願,jat1 soeng1 cing4 jyun6
一心一意,jat1 sam1 jat1 ji3
一意孤行,jat1 ji3 gu1 hang4
一成不變,jat1 sing4 bat1 bin3
一掃而空,jat1 sou3 ji4 hung1
一敗塗地,jat1 baai6 tou4 dei6
一望無際,jat1 mong6 mou4 zai3
一枝獨秀,jat1 zi1 duk6 sau3
一波三折,jat1 bo1 saam1 zit3
一清二楚,jat1 cing1 ji6 co2
一無所有,jat1 mou4 so2 jau5
一無是處,jat1 mou4 si6 cyu3
一知半解,jat1 zi1 bun3 gaai2
一竅不通,jat1 hiu3 bat1 tung1
一筆勾銷,jat1 bat1 ngau1 siu1
一籌莫展,jat1 cau4 mok6 zin2
一網打盡,jat1 mong5 daa2 zeon6
一臂之力,jat1 bei3 zi1 lik6
一舉一動,jat1 geoi2 jat1 dung6
一舉兩得,jat1 geoi2 loeng5 dak1
一舉成名,jat1 geoi2 sing4 ming4
一落千丈,jat1 lok6 cin1 zoeng6
一見如故,jat1 gin3 jyu4 gu3
一觸即發,jat1 zuk1 zik1 faat3
一言為定,jat1 jin4 wai4 ding6
一蹴而就,jat1 cuk1 ji4 zau6
一蹶不振,jat1 kyut3 bat1 zan3
一針見血,jat1 zam1 gin3 hyut3
一面之緣,jat1 min6 zi1 jyun4
一頭霧水,jat1 tau4 mou6 seoi2
一飛衝天,jat1 fei1 cung1 tin1
一馬當先,jat1 maa5 dong1 sin1
一鱗半爪,jat1 leon4 bun3 zaau2
一鼓作氣,jat1 gu2 zok3 hei3
七上八下,cat1 soeng6 baat3 haa6
七嘴八舌,cat1 zeoi2 baat3 sit3
七竅生煙,cat1 hiu3 sang1 jin1
七零八落,cat1 ling4 baat3 lok6
三五成群,saam1 ng5 sing4 kwan4
三令五申,saam1 ling6 ng5 san1
三言兩語,saam1 jin4 loeng5 jyu5
三頭六臂,saam1 tau4 luk6 bei3
上文下理,soeng6 man4 haa6 lei5
不倫不類,bat1 leon4 bat1 leoi6
不假思索,bat1 gaa2 si1 sok3
不偏不倚,bat1 pin1 bat1 ji2
不動聲色,bat1 dung6 sing1 sik1
不勞而獲,bat1 lou4 ji4 wok6
不厭其煩,bat1 jim3 kei4 faan4
不可一世,bat1 ho2 jat1 sai3
不可理喻,bat1 ho2 lei5 jyu6
不可開交,bat1 ho2 hoi1 gaau1
不吐不快,bat1 tou3 bat1 faai3
不寒而慄,bat1 hon4 ji4 leot6
不屈不撓,bat1 wat1 bat1 naau5
不屑一顧,bat1 sit3 jat1 gu3
不得而知,bat1 dak1 ji4 zi1
不慌不忙,bat1 fong1 bat1 mong4
不打自招,bat1 daa2 zi6 ziu1
不折不扣,bat1 zit3 bat1 kau3
不拘一格,bat1 keoi1 jat1 gaak3
不歡而散,bat1 fun1 ji4 saan3
不毛之地,bat1 mou4 zi1 dei6
不甘示弱,bat1 gam1 si6 joek6
不由分說,bat1 jau4 fan1 syut3
不由自主,bat1 jau4 zi6 zyu2
不相伯仲,bat1 soeng1 baak3 zung6
不省人事,bat1 sing2 jan4 si6
不眠不休,bat1 min4 bat1 jau1
不知所終,bat1 zi1 so2 zung1
不知所謂,bat1 zi1 so2 wai6
不經不覺,bat1 ging1 bat1 gok3
不義之財,bat1 ji6 zi1 coi4
不翼而飛,bat1 jik6 ji4 fei1
不聞不問,bat1 man4 bat1 man6
