word,jyutping
乃,naai5
乏,fat6
予,jyu5
云,wan4
亡,mong4
亦,jik6
仗,①zoeng3 ②zoeng6
以,ji5
仰,joeng5
任,jam6
伐,fat6
休,jau1
伙,fo2
伴,bun6
佔,zim3
佛,fat6
俗,zuk6
保,bou2
俱,keoi1
俾,bei2
倆,loeng5
倘,tong2
倚,ji2
值,zik6
偏,pin1
偕,gaai1
偶,ngau5
備,bei6
傷,soeng1
傻,so4
僅,gan2
億,jik1
免,min5
兜,dau1
其,kei4
冒,mou6
凍,dung3
凡,faan4
凶,hung1
凸,dat6
凹,nap1
函,haam4
判,pun3
利,lei6
刻,hak1
削,①soek3 ②soek3
剝,mok1
創,①cong1 ②cong3
劇,①kek6 ②kek6
劈,①pek3 ②pek3
勁,①ging6 / ging3 ②ging3 / ging6
勒,①lak6 ②lak6
勢,sai3
勿,mat6
化,faa3
匾,bin2
區,keoi1
卧,ngo6
卸,se3
參,①caam1 ②caam1 ③cam1 ④sam1
及,kap6
反,faan2
叮,ding1
叼,diu1
君,gwan1
吟,jam4
含,ham4
吼,haau1
呈,cing4
命,ming6
咒,zau3
咚,dung1
咦,ji2
咱,zaa1
咳,kat1
哄,①hung1 ②hung3 ③hung3
哩,①le1 ②lei5
哼,①hang1 ②hng6
唔,ng4 / m4
售,sau6
啃,hang2
商,soeng1
啟,kai2
啣,haam4
啥,saa2
啼,tai4
喘,cyun2
喚,wun6
喜,hei2
單,daan1
嗚,wu1
嗯,ng2
嘗,soeng4
嘛,maa3
嘩,waa1
嘿,hei1
噢,o1
噸,deon1
嚴,jim4
嚼,zoek3
圈,hyun1
圍,wai4
均,gwan1
坑,haang1
垮,kwaa1
堤,tai4
堵,dou2
塌,taap3
墓,mou6
墜,zeoi6
墮,do6
墳,fan4
夥,fo2
奉,fung6
奸,gaan1
如,jyu4
妙,miu6
始,ci2
娶,ceoi2
嫁,gaa3
嫌,jim4
嫩,nyun6
子,zi2
宗,zung1
定,ding6
宜,ji4
室,sat1
宮,gung1
富,fu3
寒,hon4
審,sam2
將,①zoeng1 ②zoeng3
屆,gaai3
屈,wat1
屢,leoi5
屬,suk6
峽,haap6
崖,ngaai4
州,zau1
己,gei2
巷,hong6
帆,faan4
席,zik6
帳,zoeng3
幢,zong6
幸,hang6
廢,fai3
式,sik1
弦,jin4
強,①koeng4 ②koeng5
彩,coi2
待,doi6
必,bit1
忌,gei6
怨,jyun3
恨,han6
患,waan6
悲,bei1
惹,je5
