word,english,jyutping
剔,tick,tik1
霉,mould,mui4
T恤,T-shirt,ti1 seot1
克隆,clone,haak1 lung4
免治,minced,min5 zi6
刁時,deuce,diu1 si4
加侖,gallon,gaa1 leon2
博客,blog,bok3 haak3
可可,cocoa,ho2 ho2
可樂,cola,ho2 lok6
吉列,cutlet,gat1 lit6
咕𠱸,cushion,ku1 seon2
哈囉,hello,haa1 lo1
唂咕,,guk1 gu2
啤梨,pear,be1 lei2
啫喱,jelly,ze1 lei2
啹喀,Gurkha,goe1 gaa2
喇嘛,lama,laa1 maa4
嗎啡,morphine,maa1 fe1
士多,store,si6 do1
奄列,omelet,am1 lit6
奶昔,milk shake,naai5 sik1
威化,wafer,wai1 faa3
媽咪,mommy,maa1 mi4
安士,ounce,on1 si2
布丁,,bou3 ding1
布冧,plum,bou3 lam1
布甸,pudding,bou3 din1
幽浮,UFO,jau1 fau4
彌撒,Mass,nei4 saat3
拷貝,copy,haau1 bui3
新地,sundae,san1 dei2
沙士,SARS,saa1 si2
沙展,sergeant,saa1 zin2
淋巴,lymph,lam4 baa1
烏龍,wrong,wu1 lung2
燕梳,insurance,jin3 so1
爹哋,daddy,de1 di4
班戟,pancake,baan1 kik1
盎司,,on1 si2
碘酒,iodine,din2 zau2
西冷,sirloin,sai1 laang1
賓治,punch,ban1 zi6
雪茄,cigar,syut3 gaa1
T恤衫,,ti1 seot1 saam1
卡介苗,Calmette-Guerin-Vaccine,kaa1 gaai3 miu4
卡路里,calorie,kaa1 lou6 lei5
吞拿魚,tuna,tan1 naa4 jyu2
士多房,storeroom,si6 do1 fong2
天婦羅,tempura,tin1 fu5 lo4
奇異果,kiwi,kei4 ji6 gwo2
威士忌,whisky,wai1 si6 gei2
尼古丁,nicotine,nei4 gu2 ding1
拔蘭地,brandy,bat6 laan1 dei2
拖肥糖,toffee,to1 fei2 tong2
木乃伊,mummy,muk6 naai5 ji1
沙丁魚,,saa1 ding1 jyu4
沙甸魚,sardine,saa1 din1 jyu2
漢堡包,hamburger,hon3 bou2 baau1
烏托邦,utopia,wu1 tok3 bong1
白蘭地,,baak6 laan1 dei2
羅宋湯,Russian borsch,lo4 sung3 tong1
茄士咩,cashmere,ke1 si6 me1
華爾茲,Waltz,waa4 ji5 zi1
車厘子,cherry,ce1 lei4 zi2
雲呢拿,vanilla,wan6 nei1 laa2
羅曼蒂克,romantic,lo4 maan6 dai3 haak1
