word,jyutping
乍,zaa3
于,jyu1
佐,zo3 zo2
余,jyu4
侯,hau4
倩,sin6
冀,kei3
劉,lau4
匈,hung1
吳,ng4
呂,leoi5
圳,zan3
坎,ham2
埔,bou3
堯,jiu4
妮,nei4
娜,naa4 no2
娟,gyun1
嫻,haan4
孚,fu1
孟,maang6
宋,sung3
屯,tyun4
岑,sam4
岳,ngok6
彭,paang4
徐,ceoi4
曹,cou4
曼,maan6
朱,zyu1
杭,hong4
柯,o1
梁,loeng4
汀,ding1
沁,sam3
沈,sam2
浙,zit3
浦,pou4
涌,cung1
淑,suk6
淮,waai4
渤,but6
湘,soeng1
滬,wu6
潘,pun1
熙,hei1
番,pun1 faan1
盧,lou4
禹,jyu5
秦,ceon4
箕,gei1
篤,duk1
綺,ji2
聶,nip6
舂,zung1
舜,seon3
苑,jyun2
范,faan6
荃,cyun4
莞,gun2; wun5
蓉,jung4
蔡,coi3
蕊,jeoi5
蕙,wai6
薇,mei4
蘇,sou1
蜀,suk6
袁,jyun4
譚,taam4
賈,gaa2
趙,ziu6
軒,hin1
邱,jau1
郭,gwok3
鄂,ngok6
鄒,zau1
鄧,dang6
銘,ming4
鍾,zung1
閩,man5
閻,jim4
陝,sim2
韓,hon4
頤,ji4
馮,fung4
魏,ngai6
