word,jyutping
丑,cau2
亥,hoi6
午,ng5
卯,maau5
壬,jam4
寅,jan4
巳,zi6
庚,gang1
戊,mou6
戌,seot1
柏,paak3
桑,song1
申,san1
痘,dau6
癸,gwai3
藻,zou2
辛,san1
辰,san4
酉,jau5
鰓,soi1
鰭,kei4
鱗,leon4
七夕,cat1 zik6
三國,saam1 gwok3
三峽,saam1 haap6
上聲,soeng6 sing1
下頷,haa6 ham5
中原,zung1 jyun4
中暑,zung3 syu2
中東,zung1 dung1
中秋,zung1 cau1
丹麥,daan1 mak6
九天,gau2 tin1
九州,gau2 zau1
九龍,gau2 lung4
也門,jaa5 mun4
五官,ng5 gun1
五穀,ng5 guk1
五臟,ng5 zong6
五行,ng5 hang4
五金,ng5 gam1
五音,ng5 jam1
京口,ging1 hau2
伊朗,ji1 long5
伯樂,baak3 lok6
伯牙,baak3 ngaa4
佛山,fat6 saan1
倫敦,leon4 deon1
假借,gaa2 ze3
元代,jyun4 doi6
入聲,jap6 sing1
八仙,baat3 sin1
八字,baat3 zi6
六書,luk6 syu1
六藝,luk6 ngai6
冉有,jim5 jau5
冰島,bing1 dou2
冰心,bing1 sam1
冷鋒,laang5 fung1
刺蝟,ci3 wai6
前臂,cin4 bei3
劉備,lau4 bei6
劉邦,lau4 bong1
包公,baau1 gung1
北斗,bak1 dau2
北海,bak1 hoi2
北韓,bak1 hon4
匡衡,hong1 hang4
半圓,bun3 jyun4
南京,naam4 ging1
南寧,naam4 ning4
南山,naam4 saan1
南昌,naam4 coeng1
南海,naam4 hoi2
南非,naam4 fei1
南韓,naam4 hon4
印尼,jan3 nei4
印度,jan3 dou6
去聲,heoi3 sing1
古巴,gu2 baa1
古琴,gu2 kam4
可汗,hak1 hon4
台中,toi4 zung1
台南,toi4 naam4
台東,toi4 dung1
合肥,hap6 fei4
吉林,gat1 lam4
后羿,hau6 ngai6
吳剛,ng4 gong1
周代,zau1 doi6
周公,zau1 gung1
周處,zau1 cyu2
唐代,tong4 doi6
